Date,Open,Close,High,Low,Volume
2020-07-27,6918.05,6774.78,7014.84,6677.16, 0 
2020-07-28,6930.58,7012.62,7012.62,6902.57, 0 
2020-07-29,6971.98,7085.15,7099.94,6951.1, 0 
2020-07-30,7160.24,7100.21,7244.19,7083.79, 0 
2020-07-31,7193.55,7155.03,7285.56,7108.15, 0 
2020-08-03,7255.44,7292.45,7311.53,7127.2, 0 
2020-08-04,7390.33,7436.59,7448.95,7330.11, 0 
2020-08-05,7488.74,7547.2,7547.2,7398.66, 0 
2020-08-06,7579.88,7576.84,7588.85,7420.51, 0 
2020-08-07,7551.8,7386.66,7551.8,7144.76, 0 
2020-08-10,7279.54,7176.17,7279.54,7119.29, 0 
2020-08-11,7217.05,7129.84,7274.64,7085.29, 0 
2020-08-12,7086.93,7010.72,7086.93,6833.88, 0 
2020-08-13,7116.74,7031.81,7133.18,7008.4, 0 
2020-08-14,7019.18,7038.26,7091,6975.84, 0 
2020-08-17,7037.86,7075.03,7117.17,7004.77, 0 
2020-08-18,7147.73,7196.01,7196.01,7075.06, 0 
2020-08-19,7187.71,7150.41,7251.57,7131.43, 0 
2020-08-20,7183.25,7167.6,7183.25,7060.78, 0 
2020-08-21,7205.57,7168.87,7208.73,7104.01, 0 
2020-08-24,7247.6,7329.91,7332.19,7198.76, 0 
2020-08-25,7348.1,7223.67,7355.49,7153.69, 0 
2020-08-26,7311.5,7275.44,7326.57,7219.82, 0 
2020-08-27,7352.09,7540.86,7574.23,7311, 0 
2020-08-28,7521.87,7580.9,7745.92,7430.02, 0 
2020-08-31,7746.63,7543.86,7771.28,7543.86, 0 
2020-09-01,7556.9,7674.71,7683.66,7526.33, 0 
2020-09-02,7874.07,7909.39,7909.39,7764.78, 0 
2020-09-03,7889.48,7706.06,7889.48,7678.15, 0 
2020-09-04,7342.83,7588.02,7622.35,7290.83, 0 
2020-09-07,7481.19,7240.96,7487.95,7213.81, 0 
2020-09-08,7301.72,7123.28,7326.01,7007.09, 0 
2020-09-09,6984.19,7015.64,7086.74,6906.75, 0 
2020-09-10,7133.84,6999.72,7200.8,6994.63, 0 
2020-09-11,7001.26,7178.27,7195.96,6986.97, 0 
2020-09-14,7235.43,7317.31,7345.08,7232.97, 0 
2020-09-15,7327.13,7348.72,7374.48,7281.24, 0 
2020-09-16,7401.88,7430.09,7464.42,7370.02, 0 
2020-09-17,7403.11,7301.56,7433,7245.87, 0 
2020-09-18,7314.72,7371.82,7371.82,7237.95, 0 
