Date,Open,Last,High,Low,Volume
2024-04-01,69.15,69.1,72.4,65.0,14094855
2024-04-02,67.67,66.9,68.59,64.47,9446891
2024-04-03,65.53,63.89,67.77,63.86,5177150
2024-04-04,63.05,67.0,68.17,62.33,5239733
2024-04-05,65.97,70.06,70.15,65.18,4216625
2024-04-08,70.06,67.01,71.66,66.25,4467678
2024-04-09,65.48,65.52,68.0,65.01,2894692
2024-04-10,64.68,63.89,64.93,63.59,2114791
2024-04-11,63.57,63.17,64.3,62.3,2396618
2024-04-12,62.5,62.75,63.25,61.87,1795364
2024-04-15,62.1,61.69,63.79,61.56,2043059
2024-04-16,62.0,61.95,62.99,61.66,1583249
2024-04-17,61.82,61.75,62.67,61.5,1849789
2024-04-18,61.84,64.03,64.11,61.38,2070485
2024-04-19,63.58,62.2,64.06,61.99,1469197
2024-04-22,62.25,62.07,62.76,61.83,1380397
2024-04-23,62.03,63.5,64.19,61.85,1505935
2024-04-24,62.85,63.54,64.18,62.78,1055100
2024-04-25,62.75,61.83,63.07,60.72,2938475
2024-04-26,61.46,64.43,64.69,61.32,1641165
2024-04-29,63.49,65.91,66.67,63.04,2163617
2024-04-30,65.21,65.01,65.86,63.75,2132558
2024-05-01,64.95,65.15,66.85,64.29,1612395
2024-05-02,65.0,65.14,66.23,64.7,1697552
2024-05-03,65.43,64.65,65.56,63.8,1724999
2024-05-06,64.7,64.69,65.11,64.3,1200293
2024-05-07,64.79,65.56,65.9,64.46,2270340
2024-05-08,65.23,66.43,66.97,65.15,1910630
2024-05-09,65.52,64.83,67.5,63.49,3088693
2024-05-10,63.8,63.74,64.81,63.03,1916241
2024-05-13,64.0,63.14,64.44,63.12,1510912
2024-05-14,63.61,65.1,65.4,63.46,1627518
2024-05-15,64.83,62.44,65.18,62.23,2812481
2024-05-16,62.0,61.56,62.03,60.57,2653989
2024-05-17,61.8,62.38,62.42,61.0,1711108
2024-05-20,62.46,62.03,62.82,61.85,1459022
2024-05-21,61.8,61.22,62.25,61.14,1319804
2024-05-22,61.07,61.89,62.24,60.92,1403793
2024-05-23,61.28,59.93,61.6,59.89,1733174
2024-05-24,59.81,60.45,60.78,59.06,1269448
2024-05-28,60.2,59.86,60.25,59.34,1705111
2024-05-29,59.23,59.72,60.12,59.23,1050386
2024-05-30,59.11,58.35,59.16,56.72,3253706
2024-05-31,58.06,59.34,59.4,57.19,5801420
2024-06-03,59.34,57.05,59.87,56.81,1680845
2024-06-04,56.82,55.61,57.25,55.5,2111514
2024-06-05,55.61,55.73,56.01,54.75,1342648
2024-06-06,55.38,55.05,55.44,54.47,1806251
2024-06-07,54.5,56.41,56.78,54.47,1534965
2024-06-10,56.05,56.71,57.28,56.05,1733769
2024-06-11,56.6,56.54,56.79,56.18,1363209
2024-06-12,56.87,56.16,57.14,56.13,1040591
2024-06-13,55.83,54.13,56.7,54.0,1408545
2024-06-14,52.96,54.56,54.78,52.58,1372090
2024-06-17,54.42,54.63,54.79,53.19,1406367
2024-06-18,54.12,53.32,55.07,52.96,1852703
2024-06-20,52.94,53.8,54.09,52.44,1720999
2024-06-21,53.83,52.35,54.77,52.2,7696882
2024-06-24,52.35,51.3,53.0,51.26,2581723
2024-06-25,51.24,51.25,51.62,50.63,1628301
2024-06-26,50.9,50.75,51.23,50.5,1141091
2024-06-27,50.5,51.33,51.39,50.49,1634482
2024-06-28,51.48,52.88,53.11,51.18,4809448
2024-07-01,53.0,51.45,53.56,51.21,1360295
2024-07-02,51.4,51.6,51.83,51.25,1309792
2024-07-03,51.63,50.85,51.77,50.61,891107
2024-07-05,50.5,49.9,51.0,49.53,2060388
2024-07-08,50.0,49.64,50.42,49.58,1194388
2024-07-09,49.39,48.02,49.74,47.98,1714301
2024-07-10,48.1,48.18,48.53,47.35,1218128
2024-07-11,48.45,49.36,49.75,48.24,1327699
2024-07-12,49.49,49.0,50.36,48.98,1089566
2024-07-15,48.78,48.22,49.19,48.12,905602
2024-07-16,47.26,50.04,50.26,47.16,1488125
2024-07-17,49.86,53.0,53.39,49.64,2496657
2024-07-18,52.71,54.98,55.1,52.4,2776256
2024-07-19,55.0,54.6,56.0,54.5,2602402
2024-07-22,54.84,54.13,55.11,53.03,1806251
2024-07-23,56.31,56.64,56.74,55.55,2073910
2024-07-24,56.78,58.09,59.97,56.64,2204515
2024-07-25,57.5,57.55,58.84,56.69,1540666
2024-07-26,58.06,57.63,59.0,57.38,1122368
2024-07-29,57.31,57.34,57.75,55.9,1001946
2024-07-30,57.58,58.95,59.3,57.14,1379478
2024-07-31,58.66,58.88,59.82,58.09,1124958
2024-08-01,58.81,58.06,59.38,57.38,1049922
2024-08-02,57.68,57.31,58.19,56.71,1058480
2024-08-05,55.06,56.14,56.37,54.26,1136145
2024-08-06,56.0,57.45,58.06,55.85,916594
2024-08-07,57.81,55.9,58.28,55.81,1519334
2024-08-08,55.9,58.66,58.97,55.62,1333920
2024-08-09,60.0,60.59,62.24,59.5,2411871
2024-08-12,60.59,57.71,60.68,57.43,1174914
2024-08-13,57.26,58.22,58.69,56.69,978574
2024-08-14,58.41,57.78,59.0,57.48,867011
2024-08-15,58.25,58.84,59.2,57.86,1013219
2024-08-16,58.96,59.4,59.99,58.61,842937
2024-08-19,59.42,59.45,60.35,59.24,1084316
2024-08-20,59.21,59.45,60.07,59.21,771139
2024-08-21,59.58,59.66,59.82,58.76,936431
2024-08-22,59.91,59.77,60.68,59.48,710438
2024-08-23,60.17,61.4,61.64,59.9,642626
2024-08-26,61.38,60.18,61.88,59.67,938404
2024-08-27,59.83,60.55,61.0,59.61,770083
2024-08-28,60.36,60.05,60.46,59.35,794923
2024-08-29,60.17,62.92,63.75,60.01,1463911
2024-08-30,62.83,64.11,65.0,62.83,2089475
2024-09-03,63.52,63.83,64.45,63.35,1140864
2024-09-04,63.44,65.11,65.53,63.18,1414907
2024-09-05,65.06,65.6,65.78,64.08,1437070
2024-09-06,65.53,66.2,66.56,64.52,1299484
2024-09-09,65.97,67.03,67.67,65.74,1417858
2024-09-10,67.0,68.35,68.98,66.38,1648832
2024-09-11,67.88,69.41,69.52,67.17,1623002
2024-09-12,68.78,68.65,70.12,68.32,1274086
2024-09-13,68.65,70.0,70.42,68.54,1013112
2024-09-16,69.97,71.79,71.92,69.9,991044
2024-09-17,71.5,72.33,73.4,71.36,788852
2024-09-18,72.3,72.13,73.27,71.51,679767
2024-09-19,72.9,72.34,73.23,72.2,886372
2024-09-20,72.03,69.95,72.13,69.85,4410211
2024-09-23,70.33,70.12,71.36,69.49,1336936
2024-09-24,70.12,70.04,70.87,69.7,878965
2024-09-25,70.1,69.22,70.12,68.76,772478
2024-09-26,68.86,68.1,69.05,67.88,1951894
2024-09-27,68.41,67.57,69.13,67.32,2001249
2024-09-30,67.49,69.72,69.85,67.3,1369287
2024-10-01,69.44,67.3,69.44,66.95,932406
2024-10-02,66.98,67.63,68.26,66.6,820693
2024-10-03,67.63,67.26,67.82,66.65,754814
2024-10-04,67.58,67.74,68.41,67.2,837213
2024-10-07,67.35,66.29,67.35,65.97,1222649
2024-10-08,66.8,67.13,68.72,66.71,1034442
2024-10-09,67.48,69.18,69.26,67.27,842363
2024-10-10,68.8,68.1,68.81,67.88,529575
2024-10-11,68.25,68.14,68.85,67.74,1235889
2024-10-14,68.22,69.39,69.47,68.1,646965
2024-10-15,69.15,69.72,70.5,69.02,957471
2024-10-16,69.75,71.42,71.6,69.7,774662
2024-10-17,71.5,72.41,72.72,71.14,1252242
2024-10-18,72.79,73.68,73.8,72.36,831689
2024-10-21,73.5,73.1,73.87,72.22,834900
2024-10-22,73.0,72.61,73.13,72.21,745739
2024-10-23,72.37,72.5,72.69,71.33,701547
2024-10-24,72.53,73.2,76.05,72.39,2120465
2024-10-25,73.15,73.19,73.94,72.85,713506
2024-10-28,73.19,73.36,73.55,72.75,822862
2024-10-29,72.77,73.35,73.87,72.54,683073
2024-10-30,73.26,73.57,74.12,72.98,601207
2024-10-31,73.33,72.58,73.88,72.58,801387
2024-11-01,73.0,72.46,73.82,72.36,689831
2024-11-04,72.5,72.17,73.73,72.01,781349
2024-11-05,71.56,73.16,73.51,71.01,892026
2024-11-06,73.58,74.14,75.18,73.58,1415335
2024-11-07,74.03,75.07,75.42,72.89,1598913
2024-11-08,76.6,72.43,77.17,72.02,2159241
2024-11-11,72.22,71.53,73.2,71.04,1065946
2024-11-12,71.42,70.7,72.25,69.62,1290453
2024-11-13,70.23,70.04,71.06,69.68,917355
2024-11-14,69.38,67.9,70.31,67.85,1063194
2024-11-15,67.74,67.48,68.33,67.0,1146295
2024-11-18,67.19,67.12,67.43,65.95,939229
2024-11-19,66.65,67.05,67.48,66.51,711432
2024-11-20,66.84,68.39,68.68,66.65,953328
2024-11-21,68.19,69.63,69.93,68.19,799914
